doc_id,phrase_original_in_doc,phrase_canonical,topic_id,topic_label,concept_id,is_outlier_topic
101,데이터 유닛,데이터 유닛,15,데이터 유닛,BT0019,False
101,업데이트,업데이트,1,조성물 | 프로세서 | 촉매,BT0001,False
102,조성물,조성물,1,조성물 | 프로세서 | 촉매,BT0001,False
104,업데이트,업데이트,1,조성물 | 프로세서 | 촉매,BT0001,False
104,컴퓨터,컴퓨터,4,디지털 변환 | 디지털 트윈 | 컴퓨터 프로그램,BT0002,False
104,디지털,디지털,4,디지털 변환 | 디지털 트윈 | 컴퓨터 프로그램,BT0002,False
104,컴퓨터 구현,컴퓨터 구현,4,디지털 변환 | 디지털 트윈 | 컴퓨터 프로그램,BT0002,False
105,조성물,조성물,1,조성물 | 프로세서 | 촉매,BT0001,False
106,에어로,에어로,1,조성물 | 프로세서 | 촉매,BT0001,False
106,억제제,억제제,1,조성물 | 프로세서 | 촉매,BT0001,False
106,조성물,조성물,1,조성물 | 프로세서 | 촉매,BT0001,False
107,컴퓨터 프로그램,컴퓨터 프로그램,4,디지털 변환 | 디지털 트윈 | 컴퓨터 프로그램,BT0002,False
107,애플리케이션,애플리케이션,4,디지털 변환 | 디지털 트윈 | 컴퓨터 프로그램,BT0002,False
107,프로그램 제품,프로그램 제품,4,디지털 변환 | 디지털 트윈 | 컴퓨터 프로그램,BT0002,False
107,컴퓨터,컴퓨터,4,디지털 변환 | 디지털 트윈 | 컴퓨터 프로그램,BT0002,False
107,프로세서,프로세서,1,조성물 | 프로세서 | 촉매,BT0001,False
109,메모리,메모리,3,메모리 | 인코딩,BT0012,False
109,인코딩,인코딩,3,메모리 | 인코딩,BT0012,False
110,비디오,비디오,7,이미지 센서,BT0005,False
110,인코딩,인코딩,3,메모리 | 인코딩,BT0012,False
111,방사선,방사선,9,레이저 | 방사선 | 자외선,BT0008,False
112,포인트,포인트,1,조성물 | 프로세서 | 촉매,BT0001,False
112,억제제,억제제,1,조성물 | 프로세서 | 촉매,BT0001,False
112,조성물,조성물,1,조성물 | 프로세서 | 촉매,BT0001,False
113,와이어,와이어,1,조성물 | 프로세서 | 촉매,BT0001,False
115,와이어,와이어,1,조성물 | 프로세서 | 촉매,BT0001,False
116,접착제,접착제,2,접착제 | 플라스틱 | 폴리머,BT0009,False
117,조성물,조성물,1,조성물 | 프로세서 | 촉매,BT0001,False
119,윤활유,윤활유,1,조성물 | 프로세서 | 촉매,BT0001,False
119,화학식,화학식,10,알루미늄 합금,BT0003,False
119,탄소,탄소,23,탄소,BT0017,False
119,윤활유 조성물,윤활유 조성물,1,조성물 | 프로세서 | 촉매,BT0001,False
119,조성물,조성물,1,조성물 | 프로세서 | 촉매,BT0001,False
119,윤활유 조성,윤활유 조성,1,조성물 | 프로세서 | 촉매,BT0001,False
120,PDCCH,PDCCH,17,PDCCH,BT0028,False
121,전해질,전해질,1,조성물 | 프로세서 | 촉매,BT0001,False
123,단백질,단백질,14,단백질,BT0021,False
124,인서트,인서트,1,조성물 | 프로세서 | 촉매,BT0001,False
