phrase_original,phrase_canonical,representative_phrase,df,tf,cleaned_score,canonical_score_proxy,doc_text,phrase_quality_score,is_meaningful_phrase,doc_index,topic_id,is_outlier_topic,topic_label,concept_id
오디오,오디오,오디오,3,15,3.5137,3.5137,오디오,1.4,True,108,27,False,초음파 발생 | 전자파 차폐,BT0007
이벤트,이벤트,이벤트,6,25,3.51,3.51,이벤트,1.4,True,109,1,False,조성물 | 프로세서 | 촉매,BT0001
컴퓨터 프로그램,컴퓨터 프로그램,컴퓨터 프로그램,9,11,5.5913,5.5913,컴퓨터 프로그램,1.2999999999999998,True,110,4,False,디지털 변환 | 디지털 트윈 | 컴퓨터 프로그램,BT0002
윤활유 조성물,윤활유 조성물,윤활유 조성물,2,4,5.0541,5.0541,윤활유 조성물,1.2999999999999998,True,111,1,False,조성물 | 프로세서 | 촉매,BT0001
테스트 코드,테스트 코드,테스트 코드,2,8,4.0939,4.0939,테스트 코드,1.2999999999999998,True,112,11,False,테스트 코드,BT0015
프로그램 제품,프로그램 제품,프로그램 제품,5,6,3.965,3.965,프로그램 제품,1.2999999999999998,True,113,4,False,디지털 변환 | 디지털 트윈 | 컴퓨터 프로그램,BT0002
레티클 컨테이너,레티클 컨테이너,레티클 컨테이너,2,5,3.8939,3.8939,레티클 컨테이너,1.2999999999999998,True,114,1,False,조성물 | 프로세서 | 촉매,BT0001
모니터링 시스템,모니터링 시스템,모니터링 시스템,2,8,3.7287,3.7287,모니터링 시스템,1.2999999999999998,True,115,18,False,모니터링 시스템,BT0014
애플리케이션,애플리케이션,애플리케이션,5,16,4.7051,4.7051,애플리케이션,0.09999999999999992,True,116,4,False,디지털 변환 | 디지털 트윈 | 컴퓨터 프로그램,BT0002
테스트,테스트,테스트,7,45,6.0056,6.0056,테스트,-0.6000000000000001,True,117,11,False,테스트 코드,BT0015
조성물,조성물,조성물,45,110,5.0760000000000005,5.0760000000000005,조성물,-0.6000000000000001,True,118,1,False,조성물 | 프로세서 | 촉매,BT0001
프로세스,프로세스,프로세스,12,22,4.4427,4.4427,프로세스,-0.6000000000000001,True,119,1,False,조성물 | 프로세서 | 촉매,BT0001
업데이트,업데이트,업데이트,4,11,4.0039,4.0039,업데이트,-0.6000000000000001,True,120,1,False,조성물 | 프로세서 | 촉매,BT0001
