doc_id,phrase_original_in_doc,phrase_norm,concept_id,concept_label
119,윤활유 조성물,윤활유 조성물,C0097,윤활유
119,조성물,조성물,C0001,조성물
119,윤활유 조성,윤활유 조성,C0097,윤활유
120,PDCCH,PDCCH,C0116,PDCCH
121,전해질,전해질,C0059,전해질
123,단백질,단백질,C0035,단백질
124,인서트,인서트,C0051,인서트
125,에어로,에어로,C0092,에어로
125,디바이스,디바이스,C0003,디바이스
126,플랫폼,플랫폼,C0086,플랫폼
126,주파수,주파수,C0060,주파수
126,이미지,이미지,C0005,이미지
126,인코딩,인코딩,C0046,인코딩
127,메탄올,메탄올,C0098,메탄올
127,조성물,조성물,C0001,조성물
128,메모리,메모리,C0007,메모리
128,디바이스,디바이스,C0003,디바이스
128,컴퓨팅,컴퓨팅,C0061,컴퓨팅
129,커넥터,커넥터,C0081,커넥터
130,접착제,접착제,C0049,접착제
130,혼합물,혼합물,C0058,혼합물
130,실리콘,실리콘,C0026,실리콘
131,디바이스,디바이스,C0003,디바이스
131,주파수,주파수,C0060,주파수
132,유전자,유전자,C0030,유전자
132,단백질,단백질,C0035,단백질
132,마이오,마이오,C0104,마이오
133,플라즈마,플라즈마,C0029,플라즈마
133,구조물,구조물,C0009,구조물
133,레이저,레이저,C0024,레이저
134,포인트,포인트,C0044,포인트
134,프레임,프레임,C0002,프레임
134,카메라,카메라,C0012,카메라
134,레이저,레이저,C0024,레이저
134,이미지,이미지,C0005,이미지
135,자동차,자동차,C0057,자동차
136,이미지,이미지,C0005,이미지
136,에너지,에너지,C0011,에너지
137,스트림,스트림,C0034,스트림
137,프로세서,프로세서,C0006,프로세서
137,플라즈마,플라즈마,C0029,플라즈마
137,드라이버,드라이버,C0094,드라이버
138,조성물,조성물,C0001,조성물
139,오디오,오디오,C0095,오디오
140,전해질,전해질,C0059,전해질
140,배터리,배터리,C0015,배터리
141,프로세스,프로세스,C0017,프로세스
141,리튬,리튬,C0020,리튬
141,스트림,스트림,C0034,스트림
142,드라이버,드라이버,C0094,드라이버
142,프레임,프레임,C0002,프레임
143,카운터,카운터,C0089,카운터
144,모니터링,모니터링,C0066,모니터링
144,이벤트,이벤트,C0064,이벤트
145,스트림,스트림,C0034,스트림
145,오디오,오디오,C0095,오디오
145,인코딩,인코딩,C0046,인코딩
147,조성물,조성물,C0001,조성물
149,실리콘,실리콘,C0026,실리콘
150,구조물,구조물,C0009,구조물
151,플라스틱,플라스틱,C0054,플라스틱
152,접착제,접착제,C0049,접착제
152,전자파 차폐,전자파 차폐,C0110,전자파
153,애플리케이션,애플리케이션,C0067,애플리케이션
153,서비스,서비스,C0016,서비스
154,방향족,방향족,C0072,방향족
154,조성물,조성물,C0001,조성물
155,접착제,접착제,C0049,접착제
155,촉매,촉매,C0021,촉매
155,아크릴,아크릴,C0047,아크릴
155,조성물,조성물,C0001,조성물
156,탄소,탄소,C0013,탄소
156,조성물,조성물,C0001,조성물
156,폴리머,폴리머,C0074,폴리머
156,반도체 장치,반도체 장치,C0028,반도체 장치
156,반도체,반도체,C0004,반도체
157,디지털 변환,디지털 변환,C0048,디지털
157,실시간,실시간,C0068,실시간
157,디지털,디지털,C0048,디지털
158,애플리케이션,애플리케이션,C0067,애플리케이션
158,에너지,에너지,C0011,에너지
160,플레이트,플레이트,C0041,플레이트
160,디스플레이,디스플레이,C0014,디스플레이
160,프레임,프레임,C0002,프레임
160,커넥터,커넥터,C0081,커넥터
160,디바이스,디바이스,C0003,디바이스
161,구조물,구조물,C0009,구조물
162,아크릴,아크릴,C0047,아크릴
162,화학식,화학식,C0037,화학식
162,조성물,조성물,C0001,조성물
163,정전기 방전,정전기 방전,C0118,정전기
163,트랜지스터,트랜지스터,C0063,트랜지스터
163,이벤트,이벤트,C0064,이벤트
164,디스플레이,디스플레이,C0014,디스플레이
164,프로세서,프로세서,C0006,프로세서
164,메모리,메모리,C0007,메모리
165,매트릭스,매트릭스,C0075,매트릭스
167,플랫폼,플랫폼,C0086,플랫폼
167,서비스,서비스,C0016,서비스
168,카메라,카메라,C0012,카메라
169,전해질,전해질,C0059,전해질
169,화학식,화학식,C0037,화학식
169,탄소,탄소,C0013,탄소
169,조성물,조성물,C0001,조성물
169,리튬,리튬,C0020,리튬
170,케이블,케이블,C0069,케이블
171,포인트,포인트,C0044,포인트
172,컨테이너,컨테이너,C0056,컨테이너
173,프레임,프레임,C0002,프레임
173,카메라,카메라,C0012,카메라
174,윤활유,윤활유,C0097,윤활유
174,윤활유 조성물,윤활유 조성물,C0097,윤활유
174,조성물,조성물,C0001,조성물
174,윤활유 조성,윤활유 조성,C0097,윤활유
175,플라즈마,플라즈마,C0029,플라즈마
177,플라즈마,플라즈마,C0029,플라즈마
178,억제제,억제제,C0050,억제제
178,조성물,조성물,C0001,조성물
179,트레이,트레이,C0045,트레이
180,음극,음극,C0084,음극
180,복합체,복합체,C0085,복합체
180,탄소,탄소,C0013,탄소
180,리튬,리튬,C0020,리튬
180,실리콘,실리콘,C0026,실리콘
183,포인트,포인트,C0044,포인트
184,촉매,촉매,C0021,촉매
184,산화물,산화물,C0036,산화물
185,지지대,지지대,C0078,지지대
186,게이트,게이트,C0043,게이트
186,알루미늄,알루미늄,C0025,알루미늄
186,반도체 장치,반도체 장치,C0028,반도체 장치
186,구조체,구조체,C0039,구조체
186,반도체,반도체,C0004,반도체
