doc_id,phrase_original_in_doc,phrase_canonical,is_outlier_topic,topic_id,topic_label,concept_id
366,조성물,조성물,False,1,윤활유 조성,BT0002
368,화학식,화학식,False,10,알루미늄,BT0011
369,레이저,레이저,False,9,레이저,BT0010
372,단말기,단말기,False,29,프로세서,BT0030
372,테스트,테스트,False,11,테스트,BT0012
373,탄소,탄소,False,23,탄소,BT0024
375,파라미터,파라미터,False,29,프로세서,BT0030
375,이미지,이미지,False,7,이미지,BT0008
375,컴퓨터,컴퓨터,False,4,컴퓨터,BT0005
375,컴퓨터 구현,컴퓨터 구현,False,4,컴퓨터,BT0005
377,에너지 발생,에너지 발생,False,0,에너지,BT0001
377,RF 에너지,RF 에너지,False,0,에너지,BT0001
377,에너지,에너지,False,0,에너지,BT0001
380,반도체,반도체,False,5,반도체,BT0006
381,초음파,초음파,False,29,프로세서,BT0030
382,게이트,게이트,False,29,프로세서,BT0030
382,플라스틱,플라스틱,False,2,접착제,BT0003
384,매트릭스,매트릭스,False,29,프로세서,BT0030
385,스마트,스마트,False,29,프로세서,BT0030
386,컴퓨터 프로그램,컴퓨터 프로그램,False,4,컴퓨터,BT0005
386,컴퓨터,컴퓨터,False,4,컴퓨터,BT0005
387,촉매,촉매,False,29,프로세서,BT0030
387,청정기,청정기,False,29,프로세서,BT0030
387,사용자 단말,사용자 단말,False,29,프로세서,BT0030
388,단백질,단백질,False,14,단백질,BT0015
391,촉매,촉매,False,29,프로세서,BT0030
391,열처리,열처리,False,0,에너지,BT0001
391,레이트,레이트,False,24,레이트,BT0025
392,그리퍼,그리퍼,False,29,프로세서,BT0030
399,컴퓨터,컴퓨터,False,4,컴퓨터,BT0005
401,음극,음극,False,29,프로세서,BT0030
401,리튬,리튬,False,10,알루미늄,BT0011
402,스트림,스트림,False,29,프로세서,BT0030
402,비디오,비디오,False,7,이미지,BT0008
402,인코딩,인코딩,False,3,메모리,BT0004
402,파라미터,파라미터,False,29,프로세서,BT0030
403,파이프,파이프,False,20,파이프,BT0021
404,조성물,조성물,False,1,윤활유 조성,BT0002
408,데이터 유닛,데이터 유닛,False,15,데이터 유닛,BT0016
411,화학식,화학식,False,10,알루미늄,BT0011
411,조성물,조성물,False,1,윤활유 조성,BT0002
412,카메라,카메라,False,7,이미지,BT0008
414,단백질,단백질,False,14,단백질,BT0015
414,유전자,유전자,False,21,유전자,BT0022
415,모니터링 시스템,모니터링 시스템,False,18,모니터링,BT0019
415,모니터링,모니터링,False,18,모니터링,BT0019
417,전자파 차폐,전자파 차폐,False,27,오디오,BT0028
418,커넥터,커넥터,False,8,케이블,BT0009
