doc_id,phrase_original_in_doc,phrase_canonical,topic_id,topic_label,concept_id,is_outlier_topic
445,텍스트,텍스트,0,디지털 | 전해질 | 리튬,BT0001,False
445,단말기,단말기,0,디지털 | 전해질 | 리튬,BT0001,False
445,디지털,디지털,0,디지털 | 전해질 | 리튬,BT0001,False
446,바이러스,바이러스,2,바이러스 | CSI,BT0008,False
449,라이트,라이트,0,디지털 | 전해질 | 리튬,BT0001,False
449,매트릭스,매트릭스,0,디지털 | 전해질 | 리튬,BT0001,False
449,백라이트,백라이트,0,디지털 | 전해질 | 리튬,BT0001,False
450,반도체 디바이스,반도체 디바이스,9,반도체 | 실리콘 | 트랜지스터,BT0002,False
450,디바이스,디바이스,0,디지털 | 전해질 | 리튬,BT0001,False
450,프로세스,프로세스,0,디지털 | 전해질 | 리튬,BT0001,False
450,반도체,반도체,9,반도체 | 실리콘 | 트랜지스터,BT0002,False
451,접착제,접착제,0,디지털 | 전해질 | 리튬,BT0001,False
451,아크릴,아크릴,0,디지털 | 전해질 | 리튬,BT0001,False
451,알루미늄,알루미늄,0,디지털 | 전해질 | 리튬,BT0001,False
451,혼합물,혼합물,0,디지털 | 전해질 | 리튬,BT0001,False
451,조성물,조성물,0,디지털 | 전해질 | 리튬,BT0001,False
451,세라믹,세라믹,0,디지털 | 전해질 | 리튬,BT0001,False
451,산화물,산화물,0,디지털 | 전해질 | 리튬,BT0001,False
451,실리콘,실리콘,9,반도체 | 실리콘 | 트랜지스터,BT0002,False
452,스펜서,스펜서,0,디지털 | 전해질 | 리튬,BT0001,False
452,스마트,스마트,0,디지털 | 전해질 | 리튬,BT0001,False
453,초음파,초음파,0,디지털 | 전해질 | 리튬,BT0001,False
454,구조물,구조물,0,디지털 | 전해질 | 리튬,BT0001,False
455,디바이스,디바이스,0,디지털 | 전해질 | 리튬,BT0001,False
455,열처리,열처리,1,배터리 | 열처리 | 에너지,BT0003,False
455,파라미터,파라미터,0,디지털 | 전해질 | 리튬,BT0001,False
457,디바이스,디바이스,0,디지털 | 전해질 | 리튬,BT0001,False
457,프레임,프레임,0,디지털 | 전해질 | 리튬,BT0001,False
457,카메라,카메라,10,이미지 | 센서 | 카메라,BT0004,False
458,메모리,메모리,0,디지털 | 전해질 | 리튬,BT0001,False
458,디바이스,디바이스,0,디지털 | 전해질 | 리튬,BT0001,False
459,촉매,촉매,0,디지털 | 전해질 | 리튬,BT0001,False
460,디스플레이,디스플레이,0,디지털 | 전해질 | 리튬,BT0001,False
460,프로세서,프로세서,0,디지털 | 전해질 | 리튬,BT0001,False
460,메모리,메모리,0,디지털 | 전해질 | 리튬,BT0001,False
460,카메라,카메라,10,이미지 | 센서 | 카메라,BT0004,False
460,이미지,이미지,10,이미지 | 센서 | 카메라,BT0004,False
462,사용자 단말,사용자 단말,0,디지털 | 전해질 | 리튬,BT0001,False
462,서비스,서비스,0,디지털 | 전해질 | 리튬,BT0001,False
463,방사선,방사선,6,포토레지스트 | 레이저 | 방사선,BT0005,False
463,폴리머,폴리머,0,디지털 | 전해질 | 리튬,BT0001,False
463,포토레지스트,포토레지스트,0,디지털 | 전해질 | 리튬,BT0001,False
463,프로세스,프로세스,0,디지털 | 전해질 | 리튬,BT0001,False
463,반도체,반도체,9,반도체 | 실리콘 | 트랜지스터,BT0002,False
